,s18,s11,s03,s59,s41,s37,s05,s07,s09,s88,s47,s02,s33,s24,s21,s16,s19,s36,s39,s25,s27,s31,s43,s96,s58,s51,s57,s73,s86,s29,s90,B02,B04,B06,B08,B10,B24,B25,B12,B14,B16,B18,B20,B22,s17,s12,s04,s32,s42,s38,s06,s08,s10,s87,s48,s01,s34,s23,s22,s15,s20,s56,s40,s26,s28,s60,s44,s95,s61,s52,s63,s74,s85,s94,s89,B01,B03,B05,B07,B09,B23,B26,B11,B13,B15,B17,B19,B21
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus,151,46,3,73,0,7,31,32,1,1,5,2,11,0,17,136,23,81,23,64,3,1,88,95,20,0,6,55,93,34,35,21,1,139,31,0,14,47,51,0,7,21,96,26,99,0,0,45,6,14,0,7,4,64,5,2,0,0,0,8,47,0,57,91,0,0,0,38,31,4,87,17,35,0,19,59,2,1,0,2,0,9,3,2,0,5,1,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Providencia,12,2,7,0,48,13,23,7,37,0,1,40,35,23,30,7,0,0,0,6,30,13,0,7,0,26,0,39,14,2,8,0,1,0,0,30,0,8,0,0,0,0,0,0,0,34,56,25,25,30,8,0,0,32,3,0,31,13,26,9,1,44,5,10,0,21,71,0,11,35,17,31,49,23,18,7,0,45,17,48,47,0,54,69,0,0,18,35
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;prausnitzii,173,31,0,225,0,33,0,189,23,0,94,2,2,0,14,284,128,4,15,350,2,2,189,477,507,24,0,205,90,18,47,6,0,320,54,1,39,95,38,0,42,53,272,328,0,0,0,0,0,12,17,8,0,0,33,0,57,0,39,88,127,3,4,45,91,14,39,18,449,25,56,304,201,0,24,0,0,5,0,3,0,274,1,0,6,19,2,56
Bacteria;Lentisphaerae;[Lentisphaeria];Victivallales;Victivallaceae,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,6,1,0,0,0,0,0,0,0,0,21,0,0,8,0,0,0,0,0,2,0,4,0,0,33,0,4,0,0,6,0,0,0,0,1,0,0,0,0
Bacteria;Verrucomicrobia,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,4,4,0,6,3,5,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,3,0,4,0,0,0,0,1
Bacteria;Firmicutes;Clostridia;Clostridiales,82,143,555,84,90,88,75,160,54,114,225,205,131,222,177,458,208,91,114,437,61,205,275,462,233,237,62,269,823,539,405,203,495,631,608,78,114,141,199,75,218,93,1204,377,165,134,58,185,165,394,68,72,52,138,109,29,69,235,94,157,145,87,234,192,174,126,68,120,295,143,247,432,537,76,192,424,176,57,228,19,99,177,185,166,13,14,149,150
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;wittichii,0,5,6,0,0,0,3,0,0,0,7,26,19,0,16,0,0,0,0,0,5,14,0,0,0,10,0,0,13,7,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,21,8,13,23,0,0,13,16,0,10,33,0,0,9,2,0,0,0,16,0,3,3,0,5,21,0,8,0,0,10,0,0,0,0,34,42,8,0,70,40,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;caccae,17,11,0,10,2,0,0,17,0,0,50,0,0,28,6,7,30,9,5,11,0,0,3,19,10,10,4,0,6,8,15,0,2,0,16,0,70,0,100,0,3,26,1,53,0,0,0,0,0,0,0,2,0,0,36,0,0,26,0,0,10,0,0,5,8,0,1,2,0,3,0,26,23,0,77,1,0,0,54,0,0,0,36,0,0,26,0,18
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;formicigenerans,0,0,0,14,0,0,0,1,0,0,0,0,0,8,0,0,0,0,27,2,0,0,67,0,20,30,0,0,16,5,15,0,0,0,10,0,0,0,0,0,0,0,104,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,1,53,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Bacteria;Proteobacteria,1,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,1,5,0,2,0,2,0,3,4,2,0,0,0,0,1,0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae,1,0,15,0,0,6,5,0,0,0,11,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae,49,5,15,0,0,0,1,39,30,19,0,3,1,0,0,0,0,28,0,0,24,0,0,0,0,0,0,0,0,25,0,0,0,7,0,0,0,28,7,0,8,3,0,9,0,24,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5,24,0
Bacteria;Proteobacteria;Gammaproteobacteria;34P16,0,3,2,0,2,1,1,0,0,0,0,0,6,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,3,2,9,0,1,3,3,0,1,1,11,2,4,4,1,0,8,0,0,0,2,0,0,0,1,0,6,3,0,0,1,0,1,0,0,0,0,1,0,9,0,0,1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus],0,2,0,6,0,5,0,0,0,19,0,0,0,16,0,0,0,0,99,0,2,0,0,0,37,22,1,0,0,2,0,13,0,4,1,0,0,0,92,0,0,0,5,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,6,0,10,8,21,3,0,0,0,0,3,0,0,0,0,0,6,50,0,0,0,0,5
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema,6,6,0,0,4,24,0,1,9,0,5,1,3,0,8,0,0,0,0,7,6,3,0,0,0,0,1,9,47,1,0,6,0,0,0,7,0,3,0,1,0,48,0,0,8,7,5,33,0,141,16,6,31,1,0,226,11,16,2,6,0,2,1,0,3,0,1,2,0,7,0,4,6,2,0,0,0,6,0,3,0,0,1,4,21,871,11,5
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;kestanbolensis,0,7,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;NB1-j;NB1-i,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,3,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,1,0,17,0,0,0,0,0,0,3,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0,9,8,5,0,0,0,0,2,4
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,1,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus,3,0,0,0,0,0,11,0,10,4,0,0,6,0,0,0,0,0,0,0,40,8,0,0,3,0,0,24,0,0,1,10,0,0,0,4,0,0,1,121,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,0,0,21,0,0,0,48,62,13,15,0,0,0,0,39,0,0,6,0,0,1,2,11,0,0,7,0,0,0,45,0,1,0,14,1,0,0,24,22,9,160,1,0,8,0,15,0,0,3,1,0,0,0,0,0,0,4,0,3,0,0,0,43,0,0,0,0,0,0,3,0,0,15,26,0,0,0,1,0,0,1,0,0,0,68,6,43,0
Bacteria;WS6;SC72,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Paraprevotellaceae];YRC22,0,1,33,1,2,0,6,0,2,0,5,5,0,1,27,0,1,0,0,6,0,10,0,6,0,0,0,0,0,6,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,14,2,25,4,9,6,0,0,9,0,16,0,3,0,10,3,0,0,1,0,3,13,0,2,26,0,8,0,0,1,0,0,27,0,61,6,1,0,3,3,1,16,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides,3,8,0,0,3,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter,0,0,0,0,0,4,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,14,0,14,15,0,2,7,1,0,0,0,0,0,0,0,82,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,65,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;ovatus,16,0,1,1,20,0,0,37,0,0,8,9,0,8,1,0,10,19,1,0,0,0,0,7,15,8,0,0,0,0,13,0,14,40,4,0,1,2,139,0,69,2,5,49,0,0,0,0,0,0,0,0,1,0,11,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,98,12,13,0,29,0,0,0,0,0,0,14,20,0,25,20,0,24
Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b,0,3,0,0,0,0,0,3,1,1,1,23,0,0,43,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,15,43,3,0,0,0,0,0,0,1,0,0,4,8,2,7,1,0,0,0,15,0,118,1,27,4,0,4,0,0,1
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium,0,31,10,224,0,144,8,118,0,0,76,0,0,71,5,0,186,45,33,0,8,0,182,12,27,0,0,0,1,316,0,0,806,0,5,0,0,61,47,1,194,222,1,31,262,65,56,1,0,373,82,288,828,0,70,89,82,20,1,3,150,17,741,0,1,20,694,733,0,12,412,67,3,263,1,0,758,0,136,0,3,0,5,0,0,684,0,38
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;obeum,0,1,0,14,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,19,3,0,8,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus,0,0,0,14,26,0,0,143,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,136,0,0,0,0,2,0,11,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;G07,2,51,43,0,15,0,13,0,48,0,9,26,17,1,7,0,0,0,0,3,40,0,0,0,0,0,0,0,0,0,1,6,0,0,0,11,0,0,0,0,0,0,0,0,19,22,0,10,16,0,3,155,0,0,0,127,26,8,7,25,0,4,0,0,0,0,21,0,17,0,0,21,46,10,0,9,0,3,0,46,22,0,24,0,35,0,2,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Succiniclasticum,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;envOPS12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,25,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae,0,0,0,0,0,22,12,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;MBA08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Bacteria;GN01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae;Nitrospina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria;BRC1;PRR-11,0,2,3,0,2,1,1,0,0,1,1,3,1,0,0,0,0,0,0,1,8,0,1,0,1,0,0,1,0,0,1,2,0,0,0,1,2,1,0,1,0,0,0,0,1,2,1,0,2,1,0,3,0,66,5,3,0,0,4,0,0,2,0,3,1,0,0,0,0,0,5,2,1,0,1,0,0,7,0,2,3,1,0,0,4,0,2,0
Bacteria;Chloroflexi;Anaerolineae;SHA-20,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,1,2,0,10,0,5,0,14,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,60,49,6,4,10,35,20,13,66,0,9,30,4,3,43,43,35,0,10,12,53,18,40,0,0,57,35,2,17,4,5,8,34,30,11,16,0,9,27,0,0,0,9,2,5,22,0,2,63,7,35,3,23,19,1,14,99,6,13,86,2,12,56,71,71,7,8,0,37,53,93,10,3,42,11,1,4,9,342,141,37,12,81,62,0,7,59,97
Bacteria;Chloroflexi;Anaerolineae;H39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,1,0,0,44,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,7,63,338,13,111,213,126,43,0,39,40,166,252,24,50,99,3,0,77,16,74,37,121,169,169,54,14,302,14,18,44,28,0,45,31,0,0,54,29,14,43,1,17,12,213,77,218,203,154,32,45,209,12,263,325,32,542,0,187,8,7,191,0,265,3,46,17,1,61,85,124,31,44,121,11,29,0,268,0,94,530,4,140,159,252,8,0,140
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;breve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea;agglomerans,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema;socranskii,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0,6,17,10,10,5,25,1,32,0,17,0,81,0,18,4,0,0,0,0,1,2,9,0,0,2,0,0,3,0,22,0,0,2,0,3,0,18,0,11,0,0,7,0,10,40,7,6,19,10,4,14,0,3,22,85,22,10,6,4,0,5,0,3,6,4,3,0,3,8,6,6,3,24,5,2,11,12,10,0,3,0,8,73,1,1,15,9
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae,117,21,0,0,21,37,0,36,33,0,5,0,1,2,0,98,17,1,0,0,1,0,2,0,5,0,0,0,122,7,393,0,0,7,15,0,0,2,0,1,9,0,0,26,0,0,0,6,0,3,0,3,10,2,0,0,12,3,1,0,21,0,0,0,0,0,1,0,0,0,25,0,56,2,141,0,0,0,26,1,2,72,0,0,0,0,3,0
Bacteria;Fibrobacteres;TG3;TG3-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,1
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;SMB53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,21,0,0,22,0,12,1,0,29,0,0,0,10,0,0,0,4,11,2,0,0,0,22,1,0,0,0,0,0,1,0,0,0,0,0,4,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,3,0,0,0,0,1,0,1
Bacteria;TM7;TM7-1,1,3,59,0,5,0,1,0,25,0,0,8,1,3,8,0,0,1,0,0,11,0,0,7,1,13,0,6,19,0,5,0,0,1,0,1,1,6,0,0,0,0,0,0,0,1,81,0,15,36,1,0,0,6,2,0,3,2,15,4,1,7,0,2,6,0,49,0,0,5,0,20,3,11,11,10,0,1,0,0,0,9,1,0,0,0,10,1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira,0,31,9,0,14,0,2,62,0,3,0,10,24,0,1,13,11,3,0,0,1,5,17,19,11,1,46,0,25,18,66,15,0,22,32,6,37,14,30,0,0,8,6,6,46,15,1,14,8,3,0,1,0,0,14,7,0,0,1,9,59,3,1,0,25,1,9,0,5,0,1,11,2,9,25,86,0,0,0,0,0,2,7,1,0,0,0,48
