Table S7: Significant and stability-selected host gene-microbe associations at FDR < 0.1 for IBD data,,,,,,,,,
,,,,,,,,,
gene,taxa,final_model_r.sqr,final_model_r.sqr.adj,pval,ci.lower,ci.upper,Bonferonni_global,BY_global,BH_global
CYBB,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9316247,0.8824799,5.80E-09,-0.3371076,-0.1673102,0.008478134,0.000138239,9.36E-06
FDXR,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.7602246,0.6703088,7.79E-09,-0.2085429,-0.1028281,0.011396217,0.00018083,1.22E-05
NOL3,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.9459623,0.9099372,1.50E-08,-0.1323454,-0.0642779,0.021920809,0.000324477,2.20E-05
B3GNT8,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.8240039,0.7580054,1.55E-08,0.1985107,0.4090305,0.022617869,0.000334126,2.26E-05
TMED5,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5,0.8334099,0.7917624,1.68E-08,0.0695808,0.1436563,0.024571226,0.00035797,2.42E-05
SAMD10,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,0.9588146,0.9218897,1.70E-08,0.05501277,0.1136099,0.024848336,0.000361295,2.45E-05
PLEKHG3,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7431324,0.6636257,1.93E-08,0.1098134,0.2274802,0.028203227,0.000404894,2.74E-05
ACHE,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium,0.9099886,0.8762343,1.95E-08,-0.2532713,-0.1222375,0.028451679,0.000408065,2.76E-05
TSC22D4,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5,0.9444266,0.9073776,2.08E-08,-0.1995214,-0.09614217,0.030366464,0.000428865,2.90E-05
ZDHHC1,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.8920263,0.8394985,2.11E-08,-0.1355357,-0.06528209,0.030893971,0.000435483,2.95E-05
RHBDD2,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,0.80922,0.723871,2.34E-08,0.06403412,0.133278,0.034178121,0.000474978,3.22E-05
PAK4,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.8784353,0.8285626,2.61E-08,0.1059987,0.2212355,0.038189424,0.000522853,3.54E-05
TMEM135,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,0.9390945,0.9118473,3.25E-08,-0.09794763,-0.04666951,0.047470767,0.000627253,4.25E-05
PSIP1,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae,0.8512337,0.7902013,4.44E-08,-0.1765661,-0.08344326,0.06490346,0.000823646,5.58E-05
PPP1R26,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7981459,0.7356672,5.30E-08,0.06763821,0.1438054,0.077491472,0.000961978,6.51E-05
PHPT1,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.7580019,0.6904676,7.25E-08,-0.1672633,-0.07799639,0.10594141,0.001265186,8.56E-05
GPR35,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.900897,0.867057,7.52E-08,0.1015604,0.2180203,0.109887427,0.001305976,8.84E-05
PPDPF,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9515347,0.9167003,1.02E-07,0.1448415,0.3136167,0.148414349,0.00171287,0.000115949
ADAT3,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.5783749,0.5066089,1.03E-07,-0.1719583,-0.07938375,0.150604534,0.001734082,0.000117385
PXN,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae,0.8519455,0.796425,1.11E-07,0.07326236,0.1590311,0.161787063,0.001849863,0.000125222
GTPBP2,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae,0.8774732,0.8226586,1.23E-07,-0.08194766,-0.03763353,0.179886242,0.002023912,0.000137004
BLOC1S6,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7981189,0.7417799,1.25E-07,-0.1350196,-0.06196995,0.183456862,0.002050033,0.000138772
DLD,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,0.8249358,0.7760807,1.37E-07,-0.1202987,-0.0550706,0.200052199,0.002213379,0.00014983
ZNF70,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae,0.8662,0.7835588,1.60E-07,0.04773232,0.1047685,0.234199863,0.002536475,0.000171701
BAD,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9700872,0.9501454,1.77E-07,0.08408932,0.1851235,0.258157518,0.002758325,0.000186718
CMTM3,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9222877,0.8704796,2.12E-07,-0.2701455,-0.1220145,0.309501764,0.003219596,0.000217943
PLA2G7,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.826162,0.7668027,2.35E-07,-0.4226207,-0.1902474,0.343631736,0.003518859,0.000238201
FBXO31,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7359204,0.6699005,2.70E-07,0.06687706,0.1492279,0.394648895,0.003952512,0.000267556
ANKRD27,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.4218747,0.3765315,2.76E-07,0.07844159,0.1751576,0.40337571,0.00402437,0.00027242
FKBP8,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5,0.9401148,0.9109814,2.93E-07,-0.1778765,-0.07950411,0.428106853,0.004255903,0.000288093
ITGB4,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.8300374,0.7663014,3.17E-07,-0.2117941,-0.0944165,0.463415042,0.004560871,0.000308738
HAVCR2,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.920252,0.8629332,3.23E-07,-0.2768069,-0.123324,0.471953676,0.004632562,0.00031359
CARM1,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae,0.3467525,0.2814277,3.24E-07,0.0893251,0.200517,0.473537645,0.004641941,0.000314225
ANKRD10,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae,0.4125129,0.3786194,3.53E-07,-0.09230168,-0.04099816,0.516706167,0.005005324,0.000338824
DGCR2,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7113283,0.647179,3.69E-07,0.08292587,0.1869645,0.539193318,0.005189129,0.000351266
FN3KRP,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] hallii group,0.9295706,0.8708795,4.09E-07,0.04711212,0.106596,0.598385031,0.005652002,0.000382599
COG1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.4290099,0.3719109,4.22E-07,0.08282652,0.1876028,0.617217049,0.00579284,0.000392133
ZBTB7A,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.8629466,0.8115515,5.55E-07,0.06627916,0.1515704,0.812103255,0.007342054,0.000497003
IGFBP3,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides,0.8602491,0.8029154,6.30E-07,0.12755,0.2930034,0.920698182,0.008205474,0.00055545
SRC,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.8924275,0.8309575,6.51E-07,0.05187604,0.1193096,0.95142393,0.008446545,0.000571769
SDS,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,0.7973122,0.7141583,7.17E-07,0.1771857,0.4089536,1,0.009157149,0.000619872
SLC20A2,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7190303,0.664058,7.89E-07,0.1247695,0.2889983,1,0.009949891,0.000673535
CHMP4B,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae,0.7789445,0.729821,8.05E-07,-0.1376009,-0.05936235,1,0.010115267,0.000684729
CBLN4,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,0.8416738,0.7974897,8.25E-07,0.07810415,0.181211,1,0.010343661,0.00070019
ITPKA,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7677341,0.7096676,8.44E-07,0.1721748,0.3998131,1,0.01055524,0.000714512
ZDHHC21,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5,0.7244293,0.690686,8.57E-07,0.08006724,0.1860333,1,0.010686244,0.00072338
KDM4A,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.8615582,0.7884917,8.70E-07,0.06274544,0.1458663,1,0.010773666,0.000729298
SPCS3,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.3563702,0.3058894,9.36E-07,-0.2465941,-0.1057817,1,0.01147008,0.00077644
RRBP1,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae,0.7270228,0.6663612,9.86E-07,0.07332057,0.1712671,1,0.012023716,0.000813917
CCSAP,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.6604984,0.5657538,1.11E-06,-0.2345507,-0.09995857,1,0.013193013,0.00089307
NPFFR1,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella,0.2027379,0.1726526,1.13E-06,0.1305762,0.3066685,1,0.013439765,0.000909774
ARRDC3,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.2471996,0.2332589,1.14E-06,-0.3103038,-0.1320834,1,0.013538791,0.000916477
GRAMD4,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.5730251,0.5207425,1.16E-06,0.1187134,0.2790057,1,0.013641162,0.000923407
AP5M1,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,0.9036099,0.8737748,1.23E-06,-0.1024579,-0.04349454,1,0.014359118,0.000972007
HOMER1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7020749,0.6003443,1.23E-06,-0.2401582,-0.1019457,1,0.014359118,0.000972007
TRIM47,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,0.7686963,0.6738025,1.23E-06,0.07740927,0.1823493,1,0.014359118,0.000972007
USP45,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae NK4A214 group,0.7441164,0.6872533,1.23E-06,-0.1396807,-0.05928702,1,0.014385132,0.000973768
EFNA1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.3102884,0.2561934,1.25E-06,0.2505803,0.5907374,1,0.014573225,0.000986501
AK9,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae,0.8610628,0.804063,1.25E-06,-0.09621303,-0.04080655,1,0.01459633,0.000988065
RILP,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7762139,0.7264836,1.25E-06,0.07826908,0.1845449,1,0.01459633,0.000988065
PDLIM1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.4374186,0.3932946,1.31E-06,0.0932641,0.2202683,1,0.015158408,0.001026113
EHD1,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,0.5948442,0.5048096,1.32E-06,0.1147288,0.2710681,1,0.015285598,0.001034723
NEK3,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.8131875,0.7553645,1.38E-06,0.0853117,0.2018908,1,0.015836183,0.001071994
GIPC1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.8456147,0.8025305,1.41E-06,0.1157019,0.2740728,1,0.01617677,0.001095049
PSKH1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.3442828,0.292854,1.44E-06,0.07883653,0.186935,1,0.016525456,0.001118652
OPLAH,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.712095,0.6401187,1.45E-06,-0.2482207,-0.1046757,1,0.016543682,0.001119886
PQLC2,Bacteria;Firmicutes;Negativicutes;Selenomonadales,0.9789607,0.9649345,1.56E-06,-0.1207785,-0.0507792,1,0.01764438,0.001194395
AASS,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.6795834,0.5994792,1.63E-06,-0.2514147,-0.1055209,1,0.018222142,0.001233505
TFEC,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.4080237,0.385685,1.68E-06,-0.511294,-0.2142791,1,0.018787725,0.001271791
ENTPD8,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.5848162,0.5339774,1.73E-06,0.1816828,0.4340223,1,0.019249674,0.001303062
OSBP2,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella,0.9093288,0.8652185,1.81E-06,-0.05365744,-0.0224188,1,0.020053094,0.001357447
SLC14A2,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella,0.8252933,0.7536187,1.83E-06,0.06323755,0.1514146,1,0.020202392,0.001367554
PEX11G,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.5191735,0.4814616,1.85E-06,0.1020909,0.2445207,1,0.020323292,0.001375738
ENTPD8,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella,0.5848162,0.5339774,1.88E-06,-0.3289747,-0.1372549,1,0.020647693,0.001397697
KIAA1586,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7012722,0.6348882,1.96E-06,-0.1433594,-0.0596981,1,0.021435475,0.001451025
GFER,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.4893917,0.4383309,2.00E-06,0.1106222,0.2658651,1,0.021785573,0.001474724
TSTD1,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae,0.6709983,0.6230189,2.03E-06,-0.2095202,-0.08713211,1,0.022037561,0.001491781
SEC22C,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.3926236,0.331886,2.05E-06,-0.237668,-0.0987964,1,0.022200654,0.001502822
WDR13,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.7249117,0.6309792,2.07E-06,-0.1561909,-0.0648953,1,0.022369141,0.001514227
IRS2,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides,0.7334231,0.6880483,2.07E-06,-0.2141906,-0.08898954,1,0.022380739,0.001515012
ZBTB6,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.7967193,0.7273063,2.08E-06,0.03882662,0.09346482,1,0.022438967,0.001518954
SLC1A4,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.7841762,0.7032423,2.39E-06,-0.219806,-0.09077203,1,0.025388919,0.001718644
NUDT2,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium,0.6860306,0.6246018,2.42E-06,-0.1397052,-0.05765666,1,0.025737636,0.001742249
ZSCAN12,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister,0.8604654,0.8081399,2.43E-06,-0.05983784,-0.02469179,1,0.025794782,0.001746118
TMEM161B,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,0.6692912,0.6130003,2.46E-06,-0.1303923,-0.05377251,1,0.026099725,0.00176676
KIAA1211L,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.2157042,0.1861082,2.63E-06,0.1091588,0.2654333,1,0.027606597,0.001868764
RHOQ,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.388267,0.3529747,2.63E-06,-0.4417286,-0.1816447,1,0.027645531,0.0018714
PDGFRL,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella,0.158141,0.1095722,2.77E-06,0.08155114,0.1987777,1,0.028965055,0.001960722
ETV2,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,0.6500641,0.5905005,2.80E-06,-0.1288326,-0.05283453,1,0.029110026,0.001970535
TMEM175,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5,0.8774409,0.8271602,2.80E-06,-0.1429672,-0.05862717,1,0.029133868,0.001972149
NOX5,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter,0.5794253,0.5078381,2.95E-06,0.06456473,0.1578091,1,0.030422871,0.002059405
DHDH,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor,0.7844981,0.7366088,2.99E-06,0.03504746,0.08571019,1,0.030726576,0.002079964
CD226,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.4679802,0.4372868,3.00E-06,-0.3779724,-0.1545324,1,0.030800912,0.002084996
SURF2,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,0.6299592,0.5669735,3.02E-06,0.0660987,0.1617237,1,0.030968453,0.002096337
KIAA2013,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.4618254,0.408008,3.11E-06,0.09222847,0.2259669,1,0.031762853,0.002150112
ADIRF,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella,0.4692348,0.4161582,3.45E-06,-0.4323872,-0.1756645,1,0.034647713,0.002345396
CRAT,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.4846913,0.4215923,3.52E-06,0.1214339,0.2992029,1,0.035302496,0.00238972
CKB,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.536640649,0.490304714,3.57E-06,0.332684729,0.820167788,1,0.035703856,0.002416889
MAFK,Bacteria;Firmicutes;Negativicutes;Selenomonadales,0.6010162,0.542831,3.65E-06,-0.3400727,-0.1378037,1,0.03641567,0.002465074
DRD2,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae NK4A214 group,0.3958858,0.3219126,3.70E-06,0.08324849,0.2055855,1,0.036889095,0.002497121
RDH16,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] gnavus group,0.6201138,0.5356946,3.71E-06,0.04796166,0.1184522,1,0.036917736,0.00249906
ZNF768,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.5557962,0.4570843,3.93E-06,0.1122023,0.2778553,1,0.038777164,0.00262493
NARS,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,0.7860318,0.7384833,4.01E-06,-0.0920962,-0.03715281,1,0.039506035,0.002674269
MSH5,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group,0.4926597,0.4633901,4.04E-06,0.05357067,0.1328382,1,0.039718167,0.002688629
WSB1,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae,0.6624156,0.6049544,4.05E-06,-0.1037551,-0.04183724,1,0.03972686,0.002689217
IKBIP,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.3829419,0.3345452,4.11E-06,-0.4011684,-0.1616604,1,0.040105836,0.002714871
FAM76B,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister,0.6684129,0.6035372,4.17E-06,-0.08008384,-0.03224951,1,0.040587147,0.002747452
CACFD1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.6114161,0.5638344,4.35E-06,0.1276306,0.3175662,1,0.042055604,0.002846856
TRERF1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.4604765,0.4181609,4.40E-06,-0.3429629,-0.1377529,1,0.042490375,0.002876287
TOMM40L,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,0.4764167,0.4123045,4.41E-06,-0.1173765,-0.04714286,1,0.04249123,0.002876345
