Table S6: Significant and stability-selected host gene-microbe associations at FDR < 0.1 for CRC data,,,,,,,,,
,,,,,,,,,
gene,taxa,final_model_r.sqr,final_model_r.sqr.adj,pval,ci.lower,ci.upper,Bonferonni_global,BY_global,BH_global
KIF5B,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae,0.9254634,0.8966106,0,0.1269264,0.2193331,0.000000609,0.0000000137,0.000000000888
TMEM263,Bacteria;GN02,0.9836756,0.9694805,0,0.1391846,0.2408057,0.000000683,0.0000000153,0.000000000988
MYO1A,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paracuniculus,0.9729558,0.9612366,0,-1.598041,-0.9176793,0.00000125,0.0000000271,0.00000000175
WNK4,Bacteria;Synergistetes;Synergistia;Synergistales,0.9833462,0.9753065,0,-0.466579,-0.2624966,0.00000743,0.000000141,0.00000000911
POSTN,Bacteria;TM7;TM7-1,0.9841788,0.976541,0,-0.5664406,-0.3168948,0.0000117,0.000000215,0.0000000139
MMAB,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];WAL_1855D,0.9428236,0.9152211,0,0.08393774,0.1512364,0.0000219,0.000000383,0.0000000248
SPP1,Bacteria;TM7;TM7-1,0.9984851,0.9968981,0,-0.6118392,-0.3391782,0.0000239,0.000000419,0.0000000271
MBP,Bacteria;GN02,0.9737844,0.9582492,0,0.1323224,0.238908,0.0000256,0.000000445,0.0000000288
CTHRC1,Bacteria;TM7;TM7-1,0.7278264,0.6656153,0,-0.8793962,-0.4850009,0.0000352,0.000000595,0.0000000385
VWA2,Bacteria;Bacteroidetes,0.8983739,0.8675782,0,-2.753357,-1.515919,0.00004,0.000000669,0.0000000432
RBP5,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.8385761,0.7686257,0,-0.3582009,-0.1972017,0.0000402,0.000000672,0.0000000434
APBB3,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9211273,0.878874,0,-0.3426092,-0.187598,0.0000597,0.000000964,0.0000000623
CAVIN3,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,0.8114934,0.7385232,0,0.2936316,0.5382412,0.0000776,0.00000123,0.0000000796
UTS2,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.8788175,0.8319081,0,-0.7806322,-0.4239759,0.00010578,0.00000165,0.000000107
KLRG2,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,0.9751614,0.9572775,0,0.243278,0.4493825,0.00013206,0.00000202,0.000000131
TRAFD1,Bacteria;Chloroflexi;Anaerolineae,0.9738918,0.9465404,0,0.133594,0.2483576,0.00020255,0.000003,0.000000194
MIB1,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9737984,0.9487878,0,0.1535956,0.2859072,0.00022031,0.00000325,0.00000021
SLC40A1,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Anaerococcus,0.9171609,0.8575168,0,0.2359067,0.4394727,0.00023205,0.0000034,0.00000022
CFAP157,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,0.784231,0.7100604,0.000000000102,0.3029776,0.5666564,0.00029961,0.00000428,0.000000277
CAMK2B,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix,0.9740716,0.9535449,0.000000000106,0.1177641,0.2203942,0.00031212,0.00000445,0.000000288
SLC35A5,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.6148713,0.552418,0.00000000013,0.2492677,0.4679813,0.00038144,0.00000535,0.000000346
AMACR,Bacteria;Bacteroidetes,0.7818501,0.7531462,0.000000000131,-1.420697,-0.7565941,0.00038566,0.0000054,0.000000349
GABPB2,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae,0.9924384,0.9828868,0.000000000171,0.09929719,0.187253,0.00050288,0.00000691,0.000000447
ZNF28,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae,0.9946477,0.9895387,0.000000000217,0.2762814,0.5230273,0.00063683,0.0000086,0.000000556
PCSK5,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae,0.9818268,0.9674397,0.000000000239,-0.5379124,-0.2836888,0.00070144,0.00000941,0.000000608
CILP2,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.9694197,0.9373833,0.000000000329,0.690063,1.315569,0.00096744,0.0000125,0.00000081
AACS,Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae,0.9025358,0.8603013,0.00000000039,0.1098698,0.210077,0.00114758,0.0000147,0.000000948
FRMD4B,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium,0.9436382,0.8990185,0.00000000039,0.3522847,0.6735793,0.00114678,0.0000147,0.000000948
TLR4,Bacteria;GN02,0.9551073,0.9227845,0.000000000574,0.2845064,0.5476966,0.00168826,0.0000209,0.00000135
GPR37L1,Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae,0.9456089,0.9193511,0.000000000596,-0.2200568,-0.1142326,0.001754,0.0000217,0.0000014
ATP6V1A,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.8033016,0.7512343,0.000000000738,0.1726701,0.3339129,0.00217047,0.0000263,0.0000017
PPP2R2C,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae,0.9149087,0.869324,0.000000000934,0.2378082,0.4618734,0.00274611,0.0000327,0.00000211
PAXX,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella,0.9179044,0.8961732,0.00000000107,-0.4211881,-0.2162944,0.00315818,0.0000372,0.00000241
UBASH3B,Bacteria;Synergistetes;Synergistia;Synergistales,0.7127963,0.6367718,0.00000000117,0.2976784,0.5805974,0.00343858,0.0000401,0.00000259
HBA1,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Peptoniphilus,0.7421925,0.6739494,0.00000000135,0.1800855,0.3522193,0.00397867,0.0000458,0.00000296
BCL9L,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9598988,0.9336788,0.00000000139,-0.4085989,-0.2087943,0.0040969,0.0000471,0.00000304
FOXD1,Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae,0.9950203,0.991078,0.00000000192,0.06602923,0.1300219,0.00563858,0.0000628,0.00000406
GLT1D1,Bacteria;Synergistetes;Synergistia;Synergistales,0.9209824,0.8640898,0.00000000194,0.1512527,0.2979138,0.00570948,0.0000634,0.0000041
HPSE,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium,0.9229578,0.8674874,0.00000000236,0.4217254,0.8338805,0.00693762,0.0000757,0.0000049
ALDOB,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas,0.9040355,0.8624509,0.0000000024,0.4789725,0.9474303,0.00706794,0.000077,0.00000498
PILRB,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium,0.8557488,0.7932399,0.0000000024,-0.5780246,-0.2922169,0.00707139,0.000077,0.00000498
STK32C,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira,0.8593382,0.8167134,0.00000000261,0.1265518,0.2507375,0.00766744,0.000083,0.00000537
BCL2A1,Bacteria;Synergistetes;Synergistia;Synergistales,0.6998184,0.6203586,0.00000000295,0.3456007,0.6864554,0.00866858,0.0000926,0.00000599
MORN1,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas,0.9531623,0.9280706,0.00000000446,-0.2039883,-0.1018161,0.0131097,0.00013522,0.00000874
PDGFRL,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.8421875,0.7738021,0.0000000048,0.92468,1.855535,0.01412073,0.00014468,0.00000935
SPTA1,Bacteria;GN02,0.8351981,0.7469114,0.00000000567,0.1805805,0.3636649,0.01666604,0.00016689,0.0000108
LMX1B,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;aerofaciens,0.8984055,0.8634824,0.00000000569,0.1685844,0.3395353,0.01673116,0.00016743,0.0000108
MAMSTR,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.8887603,0.8291677,0.00000000582,-0.2944476,-0.1461247,0.01711915,0.00017076,0.000011
MYO18A,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.6468873,0.5896258,0.00000000591,-0.4931957,-0.2446788,0.01737167,0.00017306,0.0000112
CACNA2D2,Bacteria;TM7;TM7-1,0.9466531,0.9044202,0.00000000592,0.2052215,0.4136798,0.01740572,0.00017329,0.0000112
ZNF830,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7,0.9469758,0.91857,0.00000000637,0.08477086,0.1711514,0.01871963,0.00018482,0.0000119
RNF130,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9519178,0.9204794,0.00000000678,-0.1456218,-0.0720265,0.01993055,0.00019603,0.0000127
FOXD1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae,0.9950203,0.991078,0.00000000725,0.1305229,0.2642859,0.02133014,0.00020834,0.0000135
RIPK4,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,0.9258916,0.9034346,0.00000000814,0.2218724,0.4504117,0.02393529,0.00023058,0.0000149
IMPA1,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae,0.986776,0.9789396,0.00000000841,-0.3850279,-0.1895273,0.0247161,0.00023712,0.0000153
TBX3,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Finegoldia,0.973494,0.9504453,0.00000000852,0.1952265,0.396732,0.0250667,0.00023984,0.0000155
ITPR3,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella,0.9424265,0.917478,0.00000000876,-0.781086,-0.3841235,0.02576412,0.00024514,0.0000158
GABRP,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium,0.7678415,0.6974905,0.0000000101,1.034836,2.111125,0.02972163,0.00027869,0.000018
ZNF880,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Finegoldia,0.9712628,0.9382151,0.0000000132,-0.2936332,-0.1430536,0.03869776,0.00035197,0.0000228
IDH1,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,0.982973,0.9694933,0.0000000133,-0.3398645,-0.1655267,0.03919854,0.00035569,0.000023
SLC30A10,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Anaerococcus,0.812876,0.7633432,0.0000000153,0.2693365,0.55486,0.04512255,0.00040144,0.0000259
SLC12A7,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.8636889,0.816832,0.0000000164,-0.4982772,-0.2414826,0.04824713,0.0004263,0.0000276
AIDA,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,0.9341232,0.8768391,0.0000000172,-0.2399897,-0.1161826,0.05044452,0.00044394,0.0000287
GJC2,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria,0.9590898,0.9296345,0.0000000172,0.1532044,0.3165042,0.05071796,0.00044609,0.0000288
TGM3,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Finegoldia,0.8739796,0.8251975,0.0000000186,0.1038175,0.2148567,0.05456512,0.00047641,0.0000308
GMFG,Bacteria;Synergistetes;Synergistia;Synergistales,0.8728867,0.7623534,0.0000000206,0.1968007,0.4083514,0.06068185,0.00052419,0.0000339
KLHL14,Bacteria;GN02,0.7724788,0.6942684,0.000000021,0.420677,0.8732748,0.06179694,0.00053234,0.0000344
NOL6,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium,0.9209869,0.8904012,0.0000000282,-0.5377412,-0.2571379,0.08300502,0.00069266,0.0000448
PAOX,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.5549922,0.4964386,0.0000000293,-0.4654237,-0.2223385,0.08627221,0.00071568,0.0000463
CCDC130,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.6183269,0.5310873,0.0000000327,-0.3604678,-0.1717165,0.09627089,0.00078806,0.0000509
KRT7,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium,0.7093472,0.6324097,0.0000000337,0.8497087,1.785067,0.0991474,0.00080861,0.0000523
OLR1,Bacteria;TM7;TM7-1,0.7484308,0.6995146,0.0000000383,-0.7202952,-0.3417246,0.11271809,0.00090875,0.0000587
ST6GALNAC2,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,0.6293581,0.5170424,0.0000000579,0.2155082,0.4593012,0.17031983,0.00132135,0.0000854
ANKRD24,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfococcus,0.976288,0.9514469,0.0000000637,0.141903,0.3032273,0.1874231,0.00144119,0.0000932
TP53I13,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.5924524,0.513207,0.0000000706,-0.3934879,-0.1836171,0.20772539,0.00157926,0.00010208
PPP1R14D,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium,0.971676,0.9580023,0.0000000708,-0.9101381,-0.4246831,0.20813957,0.00158163,0.00010223
MNDA,Bacteria;Synergistetes;Synergistia;Synergistales,0.6648596,0.5633018,0.0000000794,0.2749614,0.5911798,0.23351632,0.00174616,0.00011286
CSMD2,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium,0.8310778,0.7656886,0.0000000801,0.5504604,1.183788,0.23542474,0.00175766,0.00011361
PAQR5,Bacteria;GN02,0.9651274,0.9500159,0.0000000804,-0.3197515,-0.1486667,0.23639777,0.0017626,0.00011393
GAB1,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,0.9760675,0.9618853,0.000000088,-0.1208388,-0.0560388,0.25877893,0.00191196,0.00012358
SMN2,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paracuniculus,0.9349792,0.8924657,0.0000000908,0.3096088,0.668216,0.26691918,0.00196554,0.00012704
TUBGCP6,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.9426816,0.8973045,0.0000001,-0.2431005,-0.1123238,0.29396511,0.00214328,0.00013853
TNFRSF10C,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Peptoniphilus,0.9578045,0.9327998,0.000000101,0.1203877,0.260666,0.29838164,0.00217036,0.00014028
ATG3,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.4078753,0.3789912,0.000000105,0.1807306,0.3916808,0.30791992,0.00223135,0.00014422
NMRK1,Bacteria;Lentisphaerae;[Lentisphaeria];Victivallales;Victivallaceae,0.7527017,0.6777629,0.000000109,-0.5492162,-0.2531189,0.3207428,0.00231343,0.00014953
MYL5,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.561429,0.4903094,0.000000129,-0.4378674,-0.2008176,0.37833034,0.00268499,0.00017355
NDEL1,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,0.9455246,0.9192261,0.00000013,0.06902293,0.1505495,0.38258532,0.00271145,0.00017526
PCNP,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.450273,0.3938908,0.000000139,0.181298,0.396244,0.40941612,0.00287136,0.00018559
ANXA10,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas,0.4363082,0.4088111,0.00000014,0.3759534,0.8217302,0.41021713,0.00287313,0.00018571
MCL1,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Peptoniphilus,0.808392,0.7342212,0.000000151,0.138611,0.303693,0.44403616,0.00309173,0.00019984
SLC26A3,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Anaerococcus,0.88395642,0.84406644,0.000000165,0.47182705,1.03658653,0.48551734,0.00333849,0.00021579
TRPV4,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium,0.6123391,0.5494752,0.000000173,0.4024719,0.8854169,0.50738894,0.00347344,0.00022451
GCA,Bacteria;Synergistetes;Synergistia;Synergistales,0.9020634,0.8547837,0.000000186,0.08963437,0.1976344,0.54550559,0.00369029,0.00023852
PKIB,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Anaerococcus,0.3874092,0.3414649,0.000000191,0.289415,0.6386651,0.56037127,0.00377271,0.00024385
FAM167A,Bacteria;GN02,0.759909,0.6558695,0.000000211,0.3265347,0.7229339,0.62166656,0.00413678,0.00026738
OSBPL8,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.766847,0.6961946,0.000000213,0.1652482,0.3659255,0.62559661,0.00415935,0.00026884
GPR65,Bacteria;Synergistetes;Synergistia;Synergistales,0.7733822,0.6639805,0.000000226,0.1752048,0.3886986,0.66349477,0.00437187,0.00028258
SRM,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae,0.7873103,0.7310101,0.000000246,-0.2221473,-0.0998591,0.72257964,0.00470706,0.00030424
FAM155B,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae,0.8995488,0.8510551,0.000000246,0.1596944,0.3552651,0.72305454,0.00470817,0.00030432
ITGB1,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae,0.9308944,0.8938735,0.000000262,-0.3572659,-0.1602585,0.77135698,0.00498077,0.00032194
ANK1,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia,0.8459231,0.7992331,0.000000269,0.2445442,0.5456119,0.7910637,0.00509313,0.0003292
TRAF2,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium,0.8454491,0.785623,0.000000292,-0.5191537,-0.232068,0.85804425,0.00547878,0.00035412
FAM153A,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae,0.9339883,0.8648332,0.00000033,0.09977042,0.2241088,0.97088775,0.00611601,0.00039531
CRYZ,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,0.8362641,0.729206,0.000000331,0.2167194,0.4868671,0.97462284,0.00613704,0.00039667
A2ML1,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;intermedia,0.5752945,0.531735,0.000000333,0.1373026,0.3084952,0.97845644,0.00615867,0.00039807
CROCC,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.8494991,0.784282,0.000000345,-0.4088431,-0.1817389,1,0.00636043,0.00041111
CEACAM7,Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Anaerococcus,0.84120528,0.79917139,0.000000359,0.54300065,1.2231877,1,0.00658269,0.00042548
TSTA3,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella,0.7598526,0.7352221,0.000000361,-0.812422,-0.3605975,1,0.0066019,0.00042672
TMEM259,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,0.4783516,0.4248491,0.000000365,-0.5162408,-0.2290423,1,0.0066583,0.00043036
